date,id,value,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,store_id,item_id,sell_price,cat_id,dept_id,state_id,week,day,quarter
18-06-2016,HOUSEHOLD_2_002_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_002,2.67,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_002_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_002,2.67,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_003_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_003,8.94,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_003_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_003,8.94,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_004_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_004,5.67,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_004_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_004,5.67,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_005_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_005,5.47,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_005_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_005,5.47,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_006_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_006,3.44,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_006_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_006,3.44,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_007_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_007,2.58,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_007_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_007,2.58,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_008_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_008,2.46,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_008_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_008,2.46,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_009_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_009,5.73,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_009_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_009,5.73,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_010_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_010,6.97,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_010_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_010,6.97,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_011_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_011,5.62,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_011_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_011,5.62,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_012_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_012,4.78,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_012_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_012,4.78,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_013_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_013,5.94,HOUSEHOLD,2,WI,24,18,2
19-06-2016,HOUSEHOLD_2_013_WI_2_validation,0,11621,Sunday,2,6,2016,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0,WI_2,HOUSEHOLD_2_013,5.94,HOUSEHOLD,2,WI,24,19,2
18-06-2016,HOUSEHOLD_2_014_WI_2_validation,0,11621,Saturday,1,6,2016,unknown,unknown,unknown,unknown,0,0,0,WI_2,HOUSEHOLD_2_014,5.97,HOUSEHOLD,2,WI,24,18,2
